20
5
68
1.0

0	47	16	0	496	0	0.00
1	27	50	67	278	1	1.50
2	37	36	0	183	1	1.50
3	34	21	2	183	1	1.50
4	43	38	52	204	1	1.50
5	26	5	150	304	1	1.50
6	1	16	125	296	1	1.50
7	41	34	0	159	1	1.50
8	26	23	0	153	1	1.50
9	11	47	99	298	1	1.50
10	37	14	0	89	1	1.50
11	44	33	0	183	1	1.50
12	5	17	225	454	1	1.50
13	21	37	79	231	1	1.50
14	21	49	50	269	1	1.50
15	20	43	199	369	0	0.00
16	8	29	136	299	0	0.00
17	32	20	0	118	0	0.00
18	50	12	0	183	0	0.00
19	31	36	0	136	0	0.00
20	31	40	200	351	0	0.00
21	13	16	0	496	1	0.25
22	37	16	0	496	1	0.25
23	13	38	0	496	1	0.25
24	37	38	0	496	1	0.25
25	47	16	0	496	1	0.25

99999	38	22	13	22	23	46	18	21	47	10	17	42	33	41	38	39	15	5	25	28	34	10	40	24	99999
38	99999	17	29	20	45	42	21	27	16	36	24	39	14	6	9	27	30	43	14	10	37	35	18	16	38
22	17	99999	15	6	32	41	4	17	27	22	7	37	16	20	18	29	16	27	6	7	31	20	24	2	22
13	29	15	99999	18	17	33	14	8	34	7	15	29	20	30	26	26	2	18	15	19	22	6	27	17	13
22	20	6	18	99999	35	47	4	22	32	24	5	43	22	24	23	35	20	26	12	12	37	23	30	6	22
23	45	32	17	35	99999	27	31	18	44	14	32	24	32	44	38	30	16	25	31	35	17	16	35	35	23
46	42	41	33	47	27	99999	43	25	32	36	45	4	29	37	32	14	31	49	36	38	12	36	25	42	46
18	21	4	14	4	31	43	99999	18	31	20	3	39	20	24	22	33	16	23	10	11	33	18	28	6	18
21	27	17	8	22	18	25	18	99999	28	13	20	21	14	26	20	18	6	25	13	17	15	13	20	19	21
47	16	27	34	32	44	32	31	28	99999	41	34	30	14	10	9	18	34	52	22	20	31	40	9	28	47
10	36	22	7	24	14	36	20	13	41	99999	20	32	27	37	32	31	7	13	22	26	24	2	34	24	10
17	24	7	15	5	32	45	3	20	34	20	99999	41	23	27	25	36	17	21	13	14	35	18	31	9	17
42	39	37	29	43	24	4	39	21	30	32	41	99999	25	35	30	12	27	45	32	34	8	32	22	38	42
33	14	16	20	22	32	29	20	14	14	27	23	25	99999	12	6	15	20	38	10	10	22	26	8	16	33
41	6	20	30	24	44	37	24	26	10	37	27	35	12	99999	6	23	31	46	16	13	34	37	14	19	41
38	9	18	26	23	38	32	22	20	9	32	25	30	6	6	99999	18	25	43	13	11	28	32	9	18	38
39	27	29	26	35	30	14	33	18	18	31	36	12	15	23	18	99999	24	43	24	25	14	32	10	30	39
15	30	16	2	20	16	31	16	6	34	7	17	27	20	31	25	24	99999	19	16	20	19	6	26	19	15
5	43	27	18	26	25	49	23	25	52	13	21	45	38	46	43	43	19	99999	30	33	37	14	45	29	5
25	14	6	15	12	31	36	10	13	22	22	13	32	10	16	13	24	16	30	99999	4	27	21	18	6	25
28	10	7	19	12	35	38	11	17	20	26	14	34	10	13	11	25	20	33	4	99999	30	25	18	6	28
34	37	31	22	37	17	12	33	15	31	24	35	8	22	34	28	14	19	37	27	30	99999	24	22	33	34
10	35	20	6	23	16	36	18	13	40	2	18	32	26	37	32	32	6	14	21	25	24	99999	33	22	10
40	18	24	27	30	35	25	28	20	9	34	31	22	8	14	9	10	26	45	18	18	22	33	99999	24	40
24	16	2	17	6	35	42	6	19	28	24	9	38	16	19	18	30	19	29	6	6	33	22	24	99999	24
99999	38	22	13	22	23	46	18	21	47	10	17	42	33	41	38	39	15	5	25	28	34	10	40	24	99999
