20
5
100
1.0

0	43	7	0	518	0	0.00
1	2	29	52	286	1	1.50
2	19	12	0	205	1	1.50
3	34	2	109	290	1	1.50
4	6	11	106	317	1	1.50
5	1	1	208	404	1	1.50
6	45	16	0	124	1	1.50
7	15	40	206	358	0	0.00
8	40	37	117	292	0	0.00
9	49	44	270	481	0	0.00
10	29	13	0	168	0	0.00
11	17	18	0	199	0	0.00
12	7	15	0	179	0	0.00
13	43	1	0	96	0	0.00
14	29	22	0	183	0	0.00
15	32	47	124	321	0	0.00
16	10	28	60	252	0	0.00
17	38	20	0	188	0	0.00
18	46	29	0	148	0	0.00
19	13	40	31	215	0	0.00
20	38	7	237	446	0	0.00
21	13	12	0	518	1	0.25
22	37	12	0	518	1	0.25
23	13	35	0	518	1	0.25
24	37	35	0	518	1	0.25
25	43	7	0	518	1	0.25

99999	46	24	10	37	42	9	42	30	37	15	28	36	6	20	40	39	13	22	44	5	30	8	41	29	99999
46	99999	24	41	18	28	44	17	38	49	31	18	14	49	27	34	8	36	44	15	41	20	39	13	36	46
24	24	99999	18	13	21	26	28	32	43	10	6	12	26	14	37	18	20	31	28	19	6	18	24	29	24
10	41	18	99999	29	33	17	42	35	44	12	23	29	9	20	45	35	18	29	43	6	23	10	39	33	10
37	18	13	29	99999	11	39	30	42	53	23	13	4	38	25	44	17	33	43	29	32	7	31	25	39	37
42	28	21	33	11	99999	46	41	52	63	30	23	15	42	35	55	28	41	52	40	37	16	38	36	50	42
9	44	26	17	39	46	99999	38	21	28	16	28	38	15	17	33	36	8	13	40	11	32	9	37	21	9
42	17	28	42	30	41	38	99999	25	34	30	22	26	47	22	18	13	30	32	2	39	28	36	5	23	42
30	38	32	35	42	52	21	25	99999	11	26	29	39	36	18	12	31	17	10	27	30	37	25	27	4	30
37	49	43	44	53	63	28	34	11	99999	36	40	50	43	29	17	42	26	15	36	38	48	34	37	15	37
15	31	10	12	23	30	16	30	26	36	99999	13	22	17	9	34	24	11	23	31	10	16	8	27	23	15
28	18	6	23	13	23	28	22	29	40	13	99999	10	30	12	32	12	21	30	22	23	7	21	17	26	28
36	14	12	29	4	15	38	26	39	50	22	10	99999	38	22	40	13	31	40	25	31	7	30	21	36	36
6	49	26	9	38	42	15	47	36	43	17	30	38	99999	24	46	41	19	28	48	7	32	13	45	35	6
20	27	14	20	25	35	17	22	18	29	9	12	22	24	99999	25	19	9	18	24	17	19	13	21	15	20
40	34	37	45	44	55	33	18	12	17	34	32	40	46	25	99999	29	27	22	20	40	40	35	22	13	40
39	8	18	35	17	28	36	13	31	42	24	12	13	41	19	29	99999	28	36	12	34	16	31	8	28	39
13	36	20	18	33	41	8	30	17	26	11	21	31	19	9	27	28	99999	12	32	13	26	8	29	15	13
22	44	31	29	43	52	13	32	10	15	23	30	40	28	18	22	36	12	99999	34	23	37	19	34	11	22
44	15	28	43	29	40	40	2	27	36	31	22	25	48	24	20	12	32	34	99999	41	28	37	5	25	44
5	41	19	6	32	37	11	39	30	38	10	23	31	7	17	40	34	13	23	41	99999	25	5	38	28	5
30	20	6	23	7	16	32	28	37	48	16	7	7	32	19	40	16	26	37	28	25	99999	24	23	33	30
8	39	18	10	31	38	9	36	25	34	8	21	30	13	13	35	31	8	19	37	5	24	99999	33	23	8
41	13	24	39	25	36	37	5	27	37	27	17	21	45	21	22	8	29	34	5	38	23	33	99999	24	41
29	36	29	33	39	50	21	23	4	15	23	26	36	35	15	13	28	15	11	25	28	33	23	24	99999	29
99999	46	24	10	37	42	9	42	30	37	15	28	36	6	20	40	39	13	22	44	5	30	8	41	29	99999
